Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,PEDOT:PSS_n,PEDOT:PSS_k,PDINN_n,PDINN_k,Air_n,Air_k,PM6L8BOOFIB_n,PM6L8BOOFIB_k
489,1.51093,0,1.87828,0.0021,1.525401471,0.00466935,1.702038059,0.004261823,1,0,1.34163476,0.538193071
490,1.5109,0,1.87727,0.00212,1.525229412,0.004705122,1.70154373,0.004289383,1,0,1.340278261,0.540626459
491,1.51087,0,1.87627,0.00213,1.525052941,0.004740894,1.701049402,0.004316943,1,0,1.338921763,0.543059848
492,1.51083,0,1.87526,0.00215,1.524876471,0.004776667,1.700555073,0.004344502,1,0,1.337565264,0.545493236
493,1.5108,0,1.87426,0.00217,1.5247,0.004812439,1.700060744,0.004372062,1,0,1.336208765,0.547926625
494,1.51077,0,1.87326,0.00218,1.524523529,0.004848211,1.699566416,0.004399622,1,0,1.334852267,0.550360013
495,1.51073,0,1.87226,0.0022,1.524347059,0.004883984,1.699072087,0.004427182,1,0,1.333495768,0.552793402
496,1.5107,0,1.87126,0.00221,1.524170588,0.004919756,1.698581269,0.004454805,1,0,1.332135593,0.555252832
497,1.51067,0,1.87025,0.00223,1.523994118,0.004955528,1.698142482,0.004483359,1,0,1.330720925,0.558098274
498,1.51064,0,1.86925,0.00224,1.523817647,0.004991301,1.697703696,0.004511913,1,0,1.329306256,0.560943715
499,1.51061,0,1.86825,0.00226,1.523641176,0.005027073,1.69726491,0.004540467,1,0,1.327891588,0.563789157
500,1.51057,0,1.86725,0.00228,1.523464706,0.005062846,1.696826124,0.004569021,1,0,1.326476919,0.566634599
501,1.51054,0,1.86625,0.00229,1.523288235,0.005098618,1.696387337,0.004597576,1,0,1.325062251,0.56948004
502,1.51051,0,1.86524,0.00231,1.523111765,0.00513439,1.695948551,0.00462613,1,0,1.323647583,0.572325482
503,1.51048,0,1.86424,0.00233,1.522935294,0.005170163,1.695509765,0.004654684,1,0,1.322232914,0.575170924
504,1.51044,0,1.86324,0.00234,1.522758824,0.005205935,1.695070978,0.004683238,1,0,1.320818246,0.578016366
505,1.51041,0,1.86224,0.00236,1.522582353,0.005241707,1.694632192,0.004711793,1,0,1.319403578,0.580861807
506,1.51038,0,1.86123,0.00238,1.522405882,0.00527748,1.694193406,0.004740347,1,0,1.317988909,0.583707249
507,1.51035,0,1.86023,0.00239,1.522234359,0.005313252,1.693798144,0.004770059,1,0,1.316555807,0.587069523
508,1.51031,0,1.85923,0.00241,1.522070256,0.005349024,1.693405558,0.004799842,1,0,1.315121572,0.590463561
509,1.51028,0,1.85823,0.00243,1.521906154,0.005384797,1.693012971,0.004829625,1,0,1.313687336,0.593857598
510,1.51025,0,1.85723,0.00245,1.521742051,0.005420569,1.692620385,0.004859408,1,0,1.312253101,0.597251636
511,1.51022,0,1.85622,0.00246,1.521577949,0.005456341,1.692227798,0.004889191,1,0,1.310818865,0.600645674
512,1.51019,0,1.85522,0.00248,1.521413846,0.005492114,1.691835212,0.004918974,1,0,1.30938463,0.604039711
513,1.51015,0,1.85422,0.0025,1.521249744,0.005536716,1.691442625,0.004948757,1,0,1.307950395,0.607433749
514,1.51012,0,1.85327,0.00252,1.521085641,0.005590147,1.691050039,0.00497854,1,0,1.306516159,0.610827787
515,1.51009,0,1.85232,0.00253,1.520921538,0.005643578,1.690657452,0.005008323,1,0,1.305081924,0.614221824
516,1.51006,0,1.85131,0.00255,1.520757436,0.00569701,1.690264866,0.005038106,1,0,1.303647689,0.617615862
517,1.51002,0,1.85031,0.00257,1.520593333,0.005750441,1.689887392,0.005068385,1,0,1.302243177,0.621306424
518,1.50999,0,1.84931,0.00259,1.520429231,0.005803873,1.689532664,0.005099409,1,0,1.300883399,0.625443257
519,1.50996,0,1.84831,0.0026,1.520265128,0.005857304,1.689177935,0.005130433,1,0,1.299523621,0.62958009
520,1.50993,0,1.84731,0.00262,1.520101026,0.005910735,1.688823206,0.005161457,1,0,1.298163843,0.633716923
521,1.5099,0,1.8463,0.00264,1.519936923,0.005964167,1.688468478,0.005192481,1,0,1.296804065,0.637853756
522,1.50986,0,1.84536,0.00266,1.519772821,0.006017598,1.688113749,0.005223505,1,0,1.295444287,0.641990589
523,1.50983,0,1.8444,0.00268,1.519608718,0.006071029,1.68775902,0.005254529,1,0,1.294084509,0.646127422
524,1.5098,0,1.8434,0.0027,1.519444615,0.006124461,1.687404292,0.005285553,1,0,1.292724731,0.650264255
